poly_id,n,rmse_base,rmse_seas,mae_base,mae_seas,slope,intercept,pearson_r,r2_in,delta_rmse
P001,131,0.1779722174092209,0.16456497517903235,0.1348469846737752,0.11830741091840552,0.8678916646857663,-0.11884674572067684,0.8221878278620695,0.6759928242845477,0.013407242230188549
P002,125,0.14786722575599806,0.1379735884594746,0.11817055819036427,0.11172302643173813,0.28813509072060706,0.3998143030208341,0.2906896311536097,0.08450046166022152,0.009893637296523455
P003,132,0.16571573077076762,0.16648237273306915,0.13983963390531795,0.13092148758257416,0.7026517900039677,-0.0004015838711193775,0.682094626525746,0.46525307953529704,-0.0007666419623015286
P004,121,0.14678421138841538,0.1521890183227278,0.11080331380275985,0.10684025236414835,0.8424060934668385,-0.12015625159936723,0.7004143226268368,0.4905802233408101,-0.005404806934312417
P005,126,0.14946488566816604,0.17458508476398138,0.11399857467829864,0.13009144689443258,0.8093715540733436,-0.08464887650017539,0.7639952518458769,0.5836887448430458,-0.025120199095815338
P006,124,0.16060656157296394,0.17810903830084318,0.12252955053905222,0.12973691570091941,1.039262003825448,-0.18611327014693316,0.7879775595521218,0.6209086343577177,-0.017502476727879246
P007,126,0.2622840802545438,0.1954556966490611,0.21246430195043875,0.15774280759116602,0.29276773421929764,0.1900579688969299,0.225099703229129,0.05066987639384235,0.06682838360548271
P008,132,0.17267909889814895,0.1664280602287521,0.1356201965512817,0.1260856919629105,0.8578501286544616,-0.10471523684761389,0.831910560141705,0.692075180075286,0.006251038669396858
P009,127,0.1428946728519644,0.15811878169460947,0.10591682959849075,0.12027178396702026,0.7724216211250367,-0.10134638357148505,0.6618631925859111,0.4380628857000147,-0.015224108842645079
P010,129,0.155877509583379,0.152202348577174,0.10966580630646518,0.11228482721388118,1.0603134074964173,-0.16820245931135347,0.7663767004413625,0.5873332469793899,0.003675161006205019
P011,123,0.15808161082071928,0.15431270626380852,0.12454243538163463,0.11925085652427989,0.7916504792584922,-0.06543277563648187,0.7214957715524583,0.5205561483680776,0.003768904556910757
P012,129,0.20701774868683012,0.24009323887770834,0.16288396673794744,0.18422688193255984,0.8528387476338345,-0.09589022416739633,0.6298362366568745,0.39669368500609414,-0.033075490190878215
P013,128,0.19104927283384177,0.24505497588336486,0.13618535513149194,0.15987998437140133,1.0023716289373887,-0.27889869180094,0.7119491415567082,0.5068715801633341,-0.054005703049523096
P014,138,0.13518959764799537,0.12768275945148122,0.10627351188733396,0.09405644583906603,1.0644814117676913,-0.20607168075446927,0.7746153151923372,0.6000288865305236,0.007506838196514154
P015,131,0.13938511419118887,0.122926627476101,0.11145572638494074,0.10133342558559132,1.004932669179296,-0.12925444491203839,0.8133535937092353,0.6615440683997279,0.016458486715087872
P016,122,0.12147113532788728,0.12748848928447348,0.09406555930627361,0.10333331146071967,0.7720187271994488,-0.1089800677594935,0.7127695993273437,0.5080405017252622,-0.006017353956586202
P017,130,0.15890083744994613,0.1523851047894201,0.12319301169573725,0.11731556949830284,1.1168854605244736,-0.2768417801655967,0.7124511683773335,0.5075866673222272,0.006515732660526019
P018,138,0.11563123473150991,0.10311185582342502,0.09387440754606992,0.07418600169219072,0.8763325504757805,-0.1530089970032597,0.7208985641429899,0.5196947397834243,0.012519378908084883
P019,132,0.17459837094333777,0.22531659227053497,0.13269354363874775,0.18143669473058163,1.062458304597048,-0.16111476728169863,0.8066790088195621,0.6507310232701111,-0.050718221327197194
P020,125,0.2549612719580704,0.17338465755155977,0.19714348298479095,0.12275704165077736,0.8534435037923287,-0.04767537239625375,0.5080381454428311,0.25810275722499143,0.08157661440651062
P021,129,0.14426200246630932,0.14943235706744462,0.1092501152173332,0.11538766315682879,0.6361305812242724,0.012848713438145726,0.6533871604973465,0.4269147815027853,-0.005170354601135296
P022,130,0.17473539283341089,0.21176389545607566,0.1302050634404577,0.14024129675116623,0.9520725014807566,-0.2241601485733215,0.7868441234190064,0.6191236745590241,-0.03702850262266477
P023,127,0.24269258215903247,0.2710570412403936,0.1889580954728393,0.20147308929488375,-0.3165633640524366,0.37008241463365116,-0.21897797417105874,0.047951353172060895,-0.02836445908136112
P024,125,0.15881543002684537,0.16323072212292614,0.12871818477633173,0.12995127047848032,1.0839039445790146,-0.15354770158730158,0.7855296484901227,0.617056828657015,-0.0044152920960807696
P025,122,0.1465494486820654,0.15735654184889233,0.11105376643390187,0.11437305930381124,0.737972152752505,-0.06317589253923898,0.6583676112254404,0.43344791151069295,-0.010807093166826931
P026,131,0.14626409814316385,0.16514212638300668,0.10770478364448303,0.12277437224714752,1.0992098793009903,-0.215425250097138,0.863205818482244,0.7451242850616004,-0.01887802823984283
