,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154
2023-07-17,0.8139,0.7688,0.3076,0.7552,0.7027,0.7948,0.7391,0.7745,0.257,0.2932,0.6543,0.2445,0.0875,0.1963,0.7766,0.2063,0.2488,0.4523,0.3118,0.8047,0.3378,0.8021,0.0623,0.7941,0.2304,0.8125,0.2076,0.3251,0.7686,0.7559,0.5376,0.4804,0.2881,0.6943,0.2894,0.3474,0.6134,0.5275,0.3266,0.14,0.8231,0.7458,0.6704,0.678,0.5193,0.3346,0.5758,0.5257,0.7776,0.7127,0.7506,0.3657,0.7063,0.2895,0.7246,0.3357,0.5936,0.7774,0.671,0.8197,0.7866,0.3029,0.5627,0.8089,0.6969,0.2968,0.7944,0.2198,0.596,0.7895,0.755,0.1958,0.553,0.7408,0.8006,0.3538,0.7535,0.2403,0.6764,0.2656,0.3175,0.7161,0.7599,0.3736,0.7834,0.7935,0.8069,0.7757,0.5606,0.2239,0.2062,0.7328,0.4143,0.6945,0.7741,0.8155,0.6123,0.7635,0.1969,0.5377,0.689,0.5474,0.7466,0.7656,0.7587,0.7393,0.6954,0.2388,0.5247,0.2143,0.8016,0.7258,0.7671,0.8351,0.7281,0.7047,0.224,0.1103,0.654,0.7869,0.2714,0.2877,0.7636,0.1565,0.7619,0.471,0.8038,0.7752,0.7642,0.7824,0.2989,0.19,0.8012,0.609,0.7521,0.6753,0.6851,0.1837,0.7717,0.8485,0.2458,0.805,0.783,0.2105,0.7863,0.6032,0.7705,0.8044,0.4622,0.7316,0.2018,0.491,0.373,0.7881
2023-07-22,0.579,0.4315,0.2193,0.6523,0.5115,0.6274,0.5435,0.4429,0.2892,0.345,0.5705,0.3103,0.1284,0.2263,0.479,0.2332,0.28,0.3793,0.3091,0.6937,0.3332,0.7011,0.3262,0.4151,0.2583,0.671,0.3206,0.4062,0.6224,0.5015,0.4792,0.38225,0.26,0.5426,0.3119,0.313,0.6171,0.4415,0.1543,0.1308,0.77545,0.7194,0.4763,0.49355000000000004,0.3485,0.38995,0.423,0.2447,0.3828,0.3915,0.6571,0.2635,0.6811,0.39805,0.6552250000000001,0.3916,0.70665,0.6882,0.67045,0.79025,0.3987,0.31875,0.5129,0.6738,0.5918,0.30920000000000003,0.617,0.2911,0.5293,0.6853,0.6207,0.2175,0.2038,0.2083,0.6721,0.337,0.6346,0.23705,0.6283,0.3484,0.38405,0.6271,0.6575,0.3808,0.711,0.707,0.7088,0.7092999999999999,0.6425,0.2126,0.2031,0.6339,0.3757,0.5111,0.7034,0.6977,0.4825,0.6578,0.2428,0.492,0.6027,0.5694,0.6834,0.6605,0.5655,0.6365,0.5443,0.2025,0.6525,0.2259,0.6021,0.6627,0.7,0.4122,0.634,0.6154,0.2509,0.1145,0.501,0.607,0.2906,0.2964,0.6321,0.1473,0.7091,0.4311,0.733,0.7026,0.6996,0.7179,0.3027,0.198,0.6947,0.6023,0.7114,0.6601,0.6294,0.1923,0.6639,0.7938,0.2914,0.7586,0.7559,0.2116,0.6926,0.5951,0.7457,0.6806,0.5034,0.6911,0.2128,0.49,0.4687,0.6236
2023-07-27,0.7297,0.6152,0.4367,0.6961,0.6958,0.7757,0.6864,0.7328,0.3392,0.4204,0.6375,0.4065,0.188,0.2259,0.7241,0.297,0.2673,0.3512,0.3897,0.5228,0.2764,0.3712,0.622,0.6985,0.2484,0.4629,0.2275,0.45613333333333334,0.3538,0.3644,0.4669,0.2841,0.2319,0.8056,0.2908,0.4538,0.339,0.5318,0.4352,0.2805,0.7278,0.693,0.4925333333333333,0.3091,0.5542,0.4453,0.2702,0.3632,0.7509,0.6242,0.7313,0.5409,0.6559,0.5066,0.58585,0.4475,0.8197,0.7428,0.6699,0.7608,0.7029,0.3346,0.3324,0.688,0.5609,0.3216,0.4396,0.4727,0.6407,0.5777,0.7312,0.2059,0.4681,0.3595,0.4369,0.3081,0.2877,0.2338,0.3835,0.4443,0.4506,0.4149,0.3753,0.4257,0.6386,0.6816,0.5721,0.6429,0.7174,0.2358,0.2156,0.5973,0.3204,0.3715,0.6372,0.6015,0.3796,0.6838,0.3184,0.6507,0.653,0.6627666666666667,0.249,0.4318,0.6399,0.5227,0.6373,0.262,0.6803,0.2269,0.6787,0.6628,0.6773,0.7357,0.3453,0.64,0.26753333333333335,0.10783333333333334,0.3882,0.5181,0.3441,0.3278333333333333,0.4217,0.15103333333333332,0.7652333333333333,0.2028,0.6408,0.7736,0.7179666666666666,0.4605,0.196,0.1909,0.4394,0.5623,0.7194,0.7538,0.6374666666666666,0.1966,0.7288,0.8057,0.2829,0.6903,0.7029,0.2374,0.7316,0.2703,0.3077,0.7664,0.6554,0.2994,0.2212,0.6699,0.2803,0.3651
2023-08-01,0.76955,0.62165,0.5679000000000001,0.6305499999999999,0.6876,0.77935,0.6625,0.7463,0.3765,0.4906,0.64795,0.52115,0.1336,0.23879999999999998,0.72805,0.31965,0.28615,0.3146,0.5658,0.7103,0.3349,0.5547,0.5695,0.58375,0.31925000000000003,0.6066499999999999,0.333,0.5060666666666667,0.5361,0.3923,0.5497,0.51345,0.4862,0.7924,0.3015,0.6007,0.5422,0.5893,0.42974999999999997,0.21505000000000002,0.47650000000000003,0.62515,0.5087666666666667,0.36535,0.59545,0.4477,0.53155,0.5738,0.7341,0.4335,0.6998,0.6782,0.68105,0.64495,0.516475,0.5034000000000001,0.8175,0.71925,0.67925,0.77145,0.5882999999999999,0.35045000000000004,0.32394999999999996,0.45814999999999995,0.6932,0.37785,0.5087999999999999,0.54935,0.6308,0.41059999999999997,0.731,0.2187,0.59465,0.50735,0.53585,0.3033,0.38970000000000005,0.23575000000000002,0.60955,0.563,0.5838,0.493,0.42685,0.4813,0.56545,0.64845,0.6651,0.5765,0.76905,0.2479,0.20845000000000002,0.6369,0.5734,0.5892,0.67825,0.6577999999999999,0.6086,0.7023999999999999,0.3518,0.7284999999999999,0.64985,0.7561333333333333,0.54245,0.54305,0.7528,0.6926000000000001,0.72235,0.23305,0.74505,0.2208,0.7222999999999999,0.6629,0.6546,0.8241499999999999,0.4838,0.71045,0.2841666666666667,0.10116666666666667,0.4448,0.62215,0.3976,0.3592666666666667,0.5669,0.15476666666666666,0.8213666666666666,0.31865,0.6908000000000001,0.81855,0.7363333333333334,0.5735,0.2576,0.18869999999999998,0.6195999999999999,0.6376999999999999,0.72785,0.80785,0.6455333333333333,0.20429999999999998,0.7263999999999999,0.7909999999999999,0.2818,0.7505,0.74665,0.22110000000000002,0.6597500000000001,0.56975,0.5394,0.7685500000000001,0.7304999999999999,0.59585,0.2132,0.74735,0.53085,0.63325
2023-08-06,0.8094,0.6281,0.6991,0.565,0.6794,0.783,0.6386,0.7598,0.4138,0.5608,0.6584,0.6358,0.0792,0.2517,0.732,0.3423,0.305,0.278,0.7419,0.8978,0.3934,0.7382,0.517,0.469,0.3901,0.7504,0.4385,0.556,0.7184,0.4202,0.6325,0.7428,0.7405,0.7792,0.3122,0.7476,0.7454,0.6468,0.4243,0.1496,0.2252,0.5573,0.525,0.4216,0.6367,0.4501,0.7929,0.7844,0.7173,0.2428,0.6683,0.8155,0.7062,0.7833,0.4471,0.5593,0.8153,0.6957,0.6886,0.7821,0.4737,0.3663,0.3155,0.2283,0.8255,0.4341,0.578,0.626,0.6209,0.2435,0.7308,0.2315,0.7212,0.6552,0.6348,0.2985,0.4917,0.2377,0.8356,0.6817,0.717,0.5711,0.4784,0.5369,0.4923,0.6153,0.7581,0.5101,0.8207,0.26,0.2013,0.6765,0.8264,0.8069,0.7193,0.7141,0.8376,0.721,0.3852,0.8063,0.6467,0.8495,0.8359,0.6543,0.8657,0.8625,0.8074,0.2041,0.8098,0.2147,0.7659,0.663,0.6319,0.9126,0.6223,0.7809,0.3008,0.0945,0.5014,0.7262,0.4511,0.3907,0.7121,0.1585,0.8775,0.4345,0.7408,0.8635,0.7547,0.6865,0.3192,0.1865,0.7998,0.7131,0.7363,0.8619,0.6536,0.212,0.724,0.7763,0.2807,0.8107,0.7904,0.2048,0.5879,0.8692,0.7711,0.7707,0.8056,0.8923,0.2052,0.8248,0.7814,0.9014
2023-08-11,0.7508,0.5951,0.6747,0.4533,0.5981,0.3389,0.5292,0.6915,0.4224,0.5371,0.5724,0.641,0.0836,0.2655,0.6366,0.3326,0.3332,0.2235,0.7271,0.8612,0.4059,0.1996,0.5622,0.2102,0.3644,0.6725,0.4283,0.5795,0.2661,0.4137,0.6232,0.7059,0.7303,0.7562,0.2666,0.7479,0.2748,0.5597,0.331,0.1406,0.1748,0.1944,0.4724,0.4006,0.554,0.3459,0.7794,0.7954,0.7008,0.2163,0.5637,0.8088,0.6697,0.7858,0.4089,0.5665,0.7796,0.1718,0.6551,0.7302,0.1903,0.3163,0.299,0.1923,0.3013,0.428,0.3035,0.5964,0.495,0.1857,0.2498,0.2596,0.6815,0.6393,0.5257,0.2821,0.4078,0.2428,0.8087,0.6164,0.6907,0.4691,0.4348,0.5605,0.3969,0.5452,0.6861,0.4071,0.2593,0.2907,0.1964,0.61,0.8212,0.7846,0.6269,0.6436,0.826,0.6293,0.4048,0.7799,0.5608,0.8301,0.8,0.5652,0.8431,0.8505,0.8124,0.2065,0.2809,0.2199,0.6981,0.5714,0.5407,0.8692,0.5748,0.748,0.3277,0.1,0.4167,0.6611,0.4623,0.4145,0.6231,0.1565,0.8506,0.4251,0.6713,0.8298,0.6779,0.5908,0.3237,0.1917,0.7543,0.6176,0.659,0.8349,0.6161,0.2214,0.6335,0.7311,0.2953,0.7451,0.7466,0.2147,0.4506,0.8228,0.7281,0.6857,0.2777,0.8457,0.2148,0.3034,0.7827,0.8526
2023-08-16,0.7387,0.5979,0.6631,0.4077,0.5554,0.2967,0.4715,0.6773,0.4233,0.5232,0.5353,0.6975,0.0422,0.286,0.6097,0.3162,0.3568,0.182,0.6978,0.8753,0.4424,0.1585,0.6618,0.1762,0.3347,0.624,0.4189,0.619,0.2225,0.4291,0.5466,0.773,0.8122,0.7934,0.2604,0.7355,0.4018,0.5403,0.3178,0.1314,0.1556,0.1663,0.4622,0.4246,0.5356,0.3348,0.8149,0.8428,0.7739,0.2149,0.5086,0.7897,0.6726,0.8147,0.382,0.6086,0.8051,0.1343,0.6598,0.7112,0.1639,0.3022,0.3032,0.1831,0.494,0.4501,0.1759,0.6175,0.4481,0.1677,0.2166,0.2906,0.6249,0.5961,0.4506,0.2491,0.3838,0.2427,0.8368,0.607,0.7631,0.4253,0.4144,0.5949,0.3664,0.5205,0.6416,0.3594,0.3731,0.3345,0.1875,0.5906,0.8678,0.8423,0.5644,0.4735,0.8645,0.5702,0.4375,0.8202,0.5085,0.882,0.8334,0.5281,0.8641,0.8763,0.8378,0.2001,0.366,0.2163,0.6681,0.5379,0.4839,0.8761,0.5581,0.793,0.3367,0.0752,0.3214,0.6308,0.4985,0.409,0.3192,0.1408,0.8596,0.4161,0.6333,0.84,0.6281,0.5409,0.3259,0.1793,0.7401,0.5899,0.6368,0.8707,0.6006,0.2238,0.5651,0.7069,0.2974,0.7059,0.7597,0.2069,0.3869,0.8636,0.7333,0.6234,0.3452,0.8784,0.2072,0.3731,0.8108,0.8824
2023-08-21,0.7034,0.6008,0.5054,0.3802,0.518,0.3329,0.4083,0.6449,0.4336,0.5128,0.4917,0.7168,0.0471,0.3291,0.5617,0.3187,0.3901,0.1389,0.5546,0.8845,0.5219,0.1589,0.763,0.1754,0.3312,0.4667,0.4125,0.6588,0.231,0.4627,0.5239,0.8156,0.8558,0.8121,0.2528,0.7095,0.4975,0.5496,0.3283,0.1629,0.1533,0.1655,0.4541,0.4546,0.5463,0.3383,0.8367,0.8819,0.8141,0.2422,0.4721,0.7593,0.6813,0.8205,0.3734,0.6467,0.8326,0.1241,0.6687,0.6757,0.1704,0.3017,0.3461,0.2099,0.6441,0.4735,0.1753,0.6245,0.4097,0.1855,0.2357,0.3553,0.5688,0.5534,0.2102,0.2597,0.383,0.2606,0.8573,0.5793,0.8192,0.2283,0.4199,0.6362,0.3662,0.5035,0.587,0.3207,0.5452,0.4031,0.1988,0.5613,0.905,0.8657,0.5091,0.2376,0.8986,0.249,0.4807,0.8441,0.4587,0.9239,0.8572,0.2297,0.8849,0.9029,0.8681,0.2067,0.5288,0.2373,0.6194,0.5129,0.4424,0.8764,0.4492,0.8356,0.3069,0.081,0.3404,0.2836,0.3148,0.1684,0.2673,0.1455,0.8621,0.3972,0.2907,0.8359,0.5801,0.4895,0.3543,0.1979,0.7078,0.5792,0.6446,0.8811,0.5864,0.2558,0.4865,0.634,0.3252,0.6464,0.7655,0.235,0.3677,0.8446,0.7405,0.3023,0.5087,0.8551,0.2357,0.5659,0.8298,0.8697
2023-08-26,0.3387,0.4137,0.288,0.3211,0.2914,0.3678,0.2284,0.3268,0.433,0.5191,0.2819,0.662,0.0585,0.2043,0.309,0.3246,0.4108,0.1398,0.2718,0.8341,0.523,0.1511,0.7313,0.1816,0.3405,0.2367,0.4128,0.6453,0.2432,0.1853,0.4529,0.7645,0.8038,0.7483,0.2257,0.2538,0.5266,0.5113,0.323,0.209,0.1524,0.1749,0.4408,0.4367,0.5156,0.3463,0.7833,0.8227,0.769,0.2577,0.3793,0.2616,0.6407,0.7779,0.3334,0.6354,0.7567,0.1167,0.6185,0.2989,0.1709,0.3217,0.3717,0.2302,0.6713,0.4784,0.1806,0.5942,0.3332,0.2064,0.1392,0.4029,0.2328,0.2427,0.2063,0.2589,0.3362,0.2621,0.7967,0.5636,0.7928,0.2179,0.362,0.5999,0.3072,0.4234,0.2854,0.2855,0.6157,0.4231,0.2113,0.299,0.8695,0.8053,0.4497,0.1778,0.8706,0.2242,0.4951,0.7884,0.2755,0.8835,0.8007,0.212,0.8411,0.8661,0.8253,0.2156,0.5902,0.1787,0.2708,0.4574,0.3895,0.8166,0.3271,0.7652,0.153,0.0895,0.2503,0.2298,0.1866,0.1443,0.2615,0.1541,0.8129,0.2987,0.2493,0.8051,0.5141,0.265,0.2652,0.2127,0.3325,0.5361,0.6282,0.8356,0.5512,0.257,0.4021,0.4923,0.3438,0.5635,0.7311,0.2301,0.3398,0.7888,0.7221,0.2339,0.5554,0.806,0.26,0.6305,0.7999,0.8235
2023-08-31,0.2452,0.4416,0.451,0.3724,0.2157,0.4615,0.2152,0.2578,0.5031,0.5955,0.2081,0.702,0.0876,0.2017,0.2543,0.3727,0.511,0.1781,0.4393,0.8174,0.5859,0.1578,0.7441,0.2269,0.4013,0.201,0.4918,0.6916,0.2724,0.2245,0.6198,0.7541,0.7988,0.7476,0.2973,0.4271,0.5919,0.6417,0.424,0.2404,0.1797,0.2116,0.5342,0.5377,0.6326,0.4531,0.7478,0.7996,0.7734,0.1453,0.4405,0.4684,0.7257,0.8237,0.3542,0.7007,0.7867,0.1248,0.7004,0.2115,0.1736,0.4189,0.4499,0.2451,0.7023,0.5606,0.1952,0.7056,0.3737,0.2408,0.1335,0.4782,0.3056,0.3066,0.1945,0.3028,0.3598,0.3116,0.8117,0.6759,0.8297,0.2145,0.3694,0.6335,0.3346,0.4628,0.2462,0.2672,0.6811,0.5178,0.2234,0.2673,0.8696,0.79,0.4504,0.142,0.884,0.2195,0.5871,0.7837,0.2586,0.9034,0.8047,0.2055,0.8337,0.8707,0.8727,0.2132,0.6768,0.1753,0.1923,0.5017,0.4177,0.8777,0.2968,0.7886,0.1495,0.1029,0.2797,0.2063,0.1856,0.1498,0.299,0.1652,0.8374,0.2188,0.2502,0.8097,0.5824,0.2371,0.2924,0.2561,0.2529,0.6556,0.7369,0.8445,0.6148,0.3013,0.4095,0.5122,0.3932,0.6061,0.7885,0.2315,0.3624,0.7935,0.7542,0.1821,0.6504,0.8012,0.2893,0.7147,0.8446,0.8236
2023-09-05,0.2311,0.5107,0.597,0.3426,0.2173,0.4943,0.232,0.2481,0.5349,0.5695,0.2069,0.7533,0.0843,0.1515,0.2422,0.3681,0.5477,0.1456,0.7447,0.8233,0.6467,0.1599,0.7914,0.2001,0.3979,0.2059,0.4875,0.6648,0.3116,0.1527,0.6933,0.7951,0.8382,0.7476,0.309,0.685,0.6092,0.5976,0.3671,0.2655,0.1492,0.1347,0.4801,0.5796,0.586,0.4085,0.785,0.8227,0.8039,0.1337,0.3896,0.6909,0.7198,0.8153,0.3333,0.4937,0.7923,0.0988,0.6995,0.2093,0.1499,0.4221,0.4904,0.2795,0.7227,0.5781,0.1785,0.704,0.3338,0.2592,0.1239,0.5301,0.4779,0.5028,0.2031,0.2708,0.335,0.3085,0.8186,0.6415,0.8441,0.2171,0.3789,0.2814,0.3004,0.428,0.2454,0.2506,0.726,0.5104,0.1765,0.2492,0.8621,0.7798,0.4493,0.1628,0.8964,0.2201,0.5798,0.7801,0.2401,0.9058,0.7759,0.2083,0.8194,0.8699,0.8632,0.1421,0.7328,0.1313,0.2011,0.4777,0.3791,0.8592,0.2166,0.7615,0.1498,0.1006,0.2485,0.2299,0.1774,0.1365,0.3252,0.1541,0.7757,0.1642,0.2809,0.7887,0.5292,0.2495,0.2597,0.2762,0.2734,0.6446,0.6763,0.8185,0.6056,0.3222,0.3575,0.4854,0.4213,0.5652,0.7248,0.1231,0.3457,0.763,0.6985,0.1983,0.6804,0.7755,0.3137,0.7234,0.8489,0.7943
2023-09-10,0.233,0.5235,0.6454,0.3291,0.2196,0.4783,0.1924,0.2579,0.5204,0.5203,0.1971,0.7535,0.0815,0.1444,0.2472,0.3621,0.5526,0.1371,0.8044,0.7748,0.5848,0.1539,0.7749,0.1979,0.3916,0.1941,0.4789,0.3586,0.3136,0.1437,0.73,0.7512,0.8078,0.6964,0.3127,0.7496,0.2951,0.5831,0.3409,0.259,0.1244,0.1252,0.4306,0.568,0.5654,0.3791,0.7331,0.7903,0.7645,0.1095,0.3439,0.755,0.7013,0.7916,0.2943,0.3323,0.7301,0.0834,0.6724,0.2206,0.1266,0.4113,0.4898,0.2876,0.3005,0.5609,0.1479,0.6779,0.2986,0.2656,0.1092,0.5042,0.5073,0.5408,0.185,0.2554,0.3203,0.3134,0.7667,0.6045,0.8184,0.1766,0.3598,0.1874,0.2874,0.3689,0.1842,0.2389,0.3203,0.4997,0.1356,0.2539,0.8388,0.7326,0.4174,0.1513,0.8748,0.2227,0.5797,0.7275,0.2392,0.8895,0.7036,0.2127,0.7645,0.8285,0.852,0.1319,0.3516,0.1237,0.2043,0.2219,0.3367,0.8129,0.2281,0.7056,0.1406,0.0979,0.2584,0.2376,0.1545,0.1283,0.34,0.1527,0.6044,0.161,0.2956,0.7553,0.4784,0.2626,0.1774,0.3011,0.2947,0.6196,0.6241,0.7877,0.6018,0.3466,0.3294,0.4606,0.4399,0.5296,0.5245,0.1177,0.324,0.7093,0.5621,0.2004,0.326,0.7308,0.337,0.3269,0.8037,0.7398
2023-09-15,0.23883333333333334,0.5481333333333334,0.6631666666666667,0.2851666666666667,0.21796666666666667,0.3623,0.17053333333333331,0.27540000000000003,0.5078333333333334,0.46236666666666665,0.20196666666666666,0.7482333333333333,0.08533333333333333,0.15603333333333333,0.25306666666666666,0.35306666666666664,0.5042666666666666,0.12743333333333334,0.8043666666666667,0.7547333333333334,0.5921333333333333,0.15606666666666666,0.7487333333333334,0.2031,0.3793666666666667,0.18246666666666667,0.4570666666666667,0.30136666666666667,0.33613333333333334,0.13593333333333332,0.6427,0.7249333333333333,0.7808666666666666,0.6761666666666667,0.2985333333333333,0.7540666666666667,0.42679999999999996,0.5928333333333333,0.3934333333333333,0.30056666666666665,0.13193333333333332,0.12916666666666668,0.45403333333333334,0.5161333333333333,0.5749666666666666,0.43116666666666664,0.7144,0.7753,0.7594333333333333,0.11726666666666667,0.292,0.7656333333333334,0.6947666666666666,0.7376333333333334,0.26533333333333337,0.2695666666666667,0.7069666666666666,0.09406666666666667,0.6811666666666667,0.2304,0.13773333333333332,0.4208,0.49333333333333335,0.2796666666666667,0.416525,0.5684,0.149,0.6448333333333333,0.25689999999999996,0.26103333333333334,0.11786666666666666,0.4577333333333333,0.5216666666666666,0.5656333333333333,0.18143333333333334,0.23486666666666667,0.27759999999999996,0.3176,0.7446666666666667,0.5249,0.7976666666666666,0.17403333333333335,0.36013333333333336,0.1817,0.2843,0.3082666666666667,0.1848,0.2172,0.42932499999999996,0.5128333333333334,0.14183333333333334,0.26006666666666667,0.8288333333333333,0.7052,0.39525,0.1635,0.865,0.2083,0.5442666666666667,0.7082666666666667,0.22916666666666666,0.8706999999999999,0.6632,0.19806666666666667,0.7302666666666666,0.7945333333333333,0.7518333333333334,0.13606666666666667,0.31196666666666667,0.1283,0.2071,0.17966666666666664,0.2793,0.6945,0.2102,0.5523333333333333,0.149,0.09046666666666667,0.24230000000000002,0.2314,0.16726666666666667,0.13213333333333332,0.29385,0.1518,0.5434333333333333,0.14525,0.27473333333333333,0.7327666666666667,0.47296666666666665,0.24136666666666667,0.1706,0.26044999999999996,0.25443333333333334,0.5029,0.5182333333333333,0.7723333333333333,0.6127666666666667,0.2998,0.28900000000000003,0.43683333333333335,0.3931,0.48729999999999996,0.4455,0.12079999999999999,0.2738,0.6783666666666667,0.4626,0.1864,0.43123333333333336,0.7072666666666667,0.28300000000000003,0.4519333333333333,0.7134333333333334,0.7162000000000001
2023-09-20,0.24466666666666667,0.5727666666666666,0.6809333333333333,0.24123333333333333,0.21633333333333332,0.24630000000000005,0.14866666666666667,0.2929,0.4952666666666667,0.4044333333333333,0.20683333333333334,0.7429666666666667,0.08916666666666667,0.16766666666666666,0.25893333333333335,0.34403333333333336,0.4559333333333333,0.11776666666666667,0.8043333333333333,0.7346666666666667,0.5994666666666667,0.15823333333333334,0.7225666666666667,0.20829999999999999,0.3671333333333333,0.17083333333333334,0.4352333333333333,0.2441333333333333,0.35866666666666663,0.12816666666666665,0.5554,0.6986666666666667,0.7539333333333333,0.6559333333333334,0.28436666666666666,0.7585333333333334,0.5585,0.6025666666666666,0.4459666666666666,0.34213333333333334,0.13946666666666666,0.13313333333333333,0.47746666666666665,0.46426666666666666,0.5845333333333333,0.48323333333333335,0.6957,0.7603,0.7543666666666666,0.12503333333333333,0.2401,0.7762666666666667,0.6882333333333334,0.6836666666666666,0.23636666666666667,0.20683333333333334,0.6838333333333333,0.10473333333333333,0.6899333333333333,0.2402,0.14886666666666667,0.4303,0.4968666666666666,0.2717333333333333,0.53255,0.5759,0.1501,0.6117666666666667,0.2152,0.2564666666666667,0.12653333333333333,0.41126666666666667,0.5360333333333334,0.5904666666666666,0.17786666666666667,0.21433333333333335,0.2349,0.32180000000000003,0.7226333333333333,0.44530000000000003,0.7769333333333334,0.17146666666666666,0.36046666666666666,0.17600000000000002,0.2812,0.24763333333333334,0.1854,0.1955,0.53835,0.5259666666666667,0.14806666666666665,0.2662333333333333,0.8188666666666666,0.6778,0.3731,0.1757,0.8552000000000001,0.1939,0.5088333333333334,0.6890333333333333,0.21913333333333335,0.8519,0.6228,0.18343333333333334,0.6960333333333334,0.7605666666666667,0.6516666666666666,0.14023333333333332,0.2723333333333333,0.13290000000000002,0.2099,0.13743333333333332,0.2219,0.5761,0.1923,0.3990666666666667,0.1574,0.08303333333333333,0.2262,0.2252,0.18003333333333332,0.13596666666666668,0.24770000000000003,0.1509,0.48246666666666665,0.1295,0.2538666666666667,0.7102333333333333,0.46753333333333336,0.22013333333333335,0.1638,0.2198,0.21416666666666667,0.3862,0.41236666666666666,0.7569666666666667,0.6237333333333334,0.253,0.24860000000000002,0.41306666666666664,0.3463,0.44499999999999995,0.3665,0.1239,0.2236,0.6474333333333334,0.36310000000000003,0.1724,0.5364666666666666,0.6837333333333333,0.22899999999999998,0.5769666666666666,0.6231666666666666,0.6926
2023-09-25,0.2505,0.5974,0.6987,0.1973,0.2147,0.1303,0.1268,0.3104,0.4827,0.3465,0.2117,0.7377,0.093,0.1793,0.2648,0.335,0.4076,0.1081,0.8043,0.7146,0.6068,0.1604,0.6964,0.2135,0.3549,0.1592,0.4134,0.1869,0.3812,0.1204,0.4681,0.6724,0.727,0.6357,0.2702,0.763,0.6902,0.6123,0.4985,0.3837,0.147,0.1371,0.5009,0.4124,0.5941,0.5353,0.677,0.7453,0.7493,0.1328,0.1882,0.7869,0.6817,0.6297,0.2074,0.1441,0.6607,0.1154,0.6987,0.25,0.16,0.4398,0.5004,0.2638,0.6485749999999999,0.5834,0.1512,0.5787,0.1735,0.2519,0.1352,0.3648,0.5504,0.6153,0.1743,0.1938,0.1922,0.326,0.7006,0.3657,0.7562,0.1689,0.3608,0.1703,0.2781,0.187,0.186,0.1738,0.647375,0.5391,0.1543,0.2724,0.8089,0.6504,0.35095,0.1879,0.8454,0.1795,0.4734,0.6698,0.2091,0.8331,0.5824,0.1688,0.6618,0.7266,0.5515,0.1444,0.2327,0.1375,0.2127,0.0952,0.1645,0.4577,0.1744,0.2458,0.1658,0.0756,0.2101,0.219,0.1928,0.1398,0.20155,0.15,0.4215,0.1665,0.233,0.6877,0.4621,0.1989,0.157,0.17915,0.1739,0.2695,0.3065,0.7416,0.6347,0.2062,0.2082,0.3893,0.2995,0.4027,0.2875,0.127,0.1734,0.6165,0.2636,0.1584,0.6417,0.6602,0.175,0.702,0.5329,0.669
2023-09-30,0.243,0.5671,0.403,0.1634,0.2078,0.1129,0.0991,0.3083,0.379,0.2712,0.1999,0.6363,0.0752,0.156,0.2578,0.2778,0.1759,0.0904,0.4356,0.4276,0.5122,0.1439,0.6076,0.196,0.2892,0.1397,0.332,0.1419,0.3223,0.1082,0.4589,0.5917,0.6601,0.5652,0.2733,0.4176,0.6527,0.5604,0.4314,0.3431,0.1255,0.1226,0.3943,0.4246,0.5366,0.4774,0.5979,0.6845,0.685,0.1081,0.1549,0.42,0.6412,0.5025,0.1799,0.1285,0.5926,0.0923,0.6593,0.2593,0.1267,0.3728,0.4422,0.2676,0.7646,0.5126,0.126,0.4491,0.1378,0.2373,0.0996,0.2694,0.3834,0.4413,0.1595,0.1069,0.1587,0.2742,0.6292,0.2281,0.6658,0.1592,0.3224,0.1434,0.2373,0.1547,0.1632,0.1297,0.7564,0.443,0.1331,0.2498,0.7389,0.5817,0.3288,0.1577,0.7708,0.1606,0.3719,0.4953,0.2097,0.7666,0.5442,0.1942,0.4312,0.6294,0.3855,0.1235,0.7461,0.1421,0.162,0.0855,0.1377,0.3272,0.2401,0.5639,0.132,0.0945,0.1094,0.1382,0.1546,0.1197,0.1554,0.1486,0.3653,0.1187,0.1505,0.3743,0.3813,0.1511,0.1275,0.1385,0.1408,0.4762,0.2156,0.6862,0.6124,0.1594,0.1496,0.376,0.1755,0.3341,0.2085,0.1301,0.1421,0.4164,0.2196,0.1322,0.6851,0.4585,0.1461,0.7355,0.3798,0.3547
